exercise_name,preparation,execution,main_muscle,duration_seconds,body_area,stretch_type,safe_for_knee_injury,safe_for_back_injury,needs_equipment
Retraction​​​​​​​,Stand or sit.,Pull head back as far possible while looking slightly down and hold stretch.,Neck,20,full_body,static,yes,yes,yes
Neck Extensor,Bow head forward with jaw shut. Depress chin into top of sternum.,Slightly turn head to one side. Hold stretch. Repeat to other side.,Neck,20,full_body,static,yes,no,yes
Doorway,0,0,Shoulder,20,upper_body,static,yes,yes,no
Wall,0,0,Shoulder,20,upper_body,static,yes,yes,no
Side Deltoid,0,0,Shoulder,20,upper_body,static,yes,no,no
Rear Deltoid,0,0,Shoulder,20,upper_body,static,yes,no,yes
Overhead​​​​​​​,Put one arm overhead. Position forearm as close as possible to upper arm. Grasp elbow overhead with other hand.,Pull elbow back and toward head. Hold stretch. Repeat with opposite arm.,Upper Arms,20,upper_body,static,yes,yes,yes
Towel,Grasp near end of towel or rope. Position towel behind head so towel dangles down behind body. Reach behind back or waist with opposite hand and grasp opposite end of towel. Position upper arm close to back side of head.,Pull towel downward with lower arm. Hold stretch. Repeat with opposite arm.,Upper Arms,20,upper_body,static,yes,no,no
Doorway,Stand at end of wall or in doorway facing perpendicular to wall. Position front of straight arm and palm on surface of wall. Situate arm around same height of shoulder with elbow positioned away from wall.,Turn body away from positioned arm. Hold stretch. Repeat with opposite arm.,Upper Arms,20,upper_body,static,yes,yes,yes
Seated,Sit on floor or mat. Lean back and place hands flat on floor close together behind body with fingers positioned away from body.,Scoot hips forward away from hands. Hold stretch.,Upper Arms,20,upper_body,static,yes,yes,no
Standing,"Cross wrists, point thumbs downward, and clasp hands.","Cross wrists, point thumbs downward, and clasp hands.",Forearm,20,full_body,static,yes,yes,no
Seated​​​​​​​,"Sit on floor. Place palms on floor to sides, behind hips with fingers pointing to back.",Lean back with arms straight. Hold stretch.,Forearm,20,full_body,static,yes,yes,yes
Kneeling,Kneel on floor or mat. Place palms of hand on floor with fingers pointing toward knees.,Shift body back with elbows straight. Hold stretch.,Forearm,20,full_body,static,yes,yes,yes
Kneeling,Kneel on floor or mat. Flex wrists and place tops of hand on floor with fingers pointing toward knees.,Lean against floor with elbows straight. Hold stretch for 20 seconds.,Forearm,20,full_body,static,yes,yes,yes
Single Arm,"With palm facing downward, pull wrist and fingers downward toward forearm.",Extend or straighten elbow. Hold stretch. Repeat with opposite arm.,Forearm,20,full_body,static,yes,yes,yes
Fixed Bar,Stand facing stationary bar. Grasp stationary bar with one hand approximately waist height.,Bend over allowing hips to fall back. Slightly lean torso toward stretched arm. Hold stretch. Repeat with opposite side.,Back,25,back,static,yes,yes,yes
Lever,"Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with arms crossed, overhand grip.",Push and lower seat back. Hold stretch. Repeat with opposite arm position.,Back,25,back,static,yes,yes,yes
Bar,Standing distance facing bar approximately lower chest height. Grasp bar with both hands. Lean body forward so bar is behind/under bar and arms are to sides of head. Feet are keep away from bar.,Allow upper body to hang downward while keeping arms to sides of head. Hold stretch.,Back,25,back,static,yes,no,yes
Lever,"Sit on seat in forward position with lower legs on shin pad, feet on foot rest. Place hands through wrist straps. Hold upper bar with underhand grip.",Push and lower seat back. Hold stretch.,Back,25,back,static,yes,yes,yes
Overhead,Put one arm overhead. Grasp elbow or wrist overhead with other hand.,"Pull elbow toward head and back or pull arm down toward opposite shoulder. Lean torso to side, away from direction of arm behind head. Hold stretch. Repeat with opposite arm.",Back,25,back,static,yes,yes,yes
Supine Lat,Lie supine on mat or floor. Position arms parallel to body pointing opposite direction of legs.,Pull arms toward floor and back sides of head. Hold stretch.,Back,25,back,static,yes,no,yes
Standing Side Reach,Stand with feet far apart. Place one arm on side of thigh. Put opposite arm overhead.,Lean and reach to side away from raised arm. Hold stretch. Repeat with opposite arm.,Back,25,back,static,yes,yes,yes
Upper Trapezius,Grasp wrist or hand from behind and pull arm to opposite side.,Tilt head away from lowered shoulder by positioning ear toward front of opposite shoulder. Hold stretch. Repeat to other side.,Back,25,back,static,yes,yes,yes
Fixed Bar,Stand facing very close to stationary bar. Grasp stationary bar with both hands just below chest height.,Lean back allowing body and hips to fall back and shoulders to be pulled forward. Hold stretch,Back,25,back,static,yes,yes,no
Hugging,Cross both arms and place both hands behind shoulders of opposite arms.,Bring elbows closer together in front of body. Raise elbows slightly and hold stretch.,Back,25,back,static,yes,yes,no
Broomstick,Grasp pole at one end and position overhead with other end of pole behind opposite arm. Grasp other end of pole with hand positioned below elbow. Position elbow of lower arm close to height of shoulder.,Pull upper end of pole forward so shoulder is internally rotated. Hold stretch. Repeat with opposite arm.,Back,25,back,static,yes,yes,yes
Side Lying,"Lie supine on mat or floor with knees bent approximately 90 degrees. Position hand under side of waist, palm down.",Allow legs and hips to fall to side of positioned arm. Hold stretch. Repeat on opposite side.,Back,25,back,static,yes,yes,yes
Side Lying Teres Minor,"Lie down on side on mat or floor. Position arm on floor with bent elbow positioned forward on mat and hand above elbow. With other hand, grasp back of wrist.","Keeping elbow bend at a right angle, push forearm downward toward floor. Hold stretch. Repeat on opposite side.",Back,25,back,static,yes,yes,yes
Broomstick,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,25,back,static,yes,yes,yes
