dish,calories_kcal,protein_g,carbs_g,fat_g,pakistani_cuisine,is_vegetarian,macro_quality
Chicken Biryani,483,10.1,68.1,20.7,True,False,balanced
Beef Biryani,430,12.1,15.4,26.2,True,False,balanced
Mutton Biryani,325,34.8,35.5,24.6,True,False,high_protein
Vegetable Biryani,580,18.9,20.1,25.6,True,True,high_protein
Sindhi Biryani,407,15.0,29.9,20.7,True,True,high_protein
Pulao,268,15.2,68.6,5.7,True,True,high_protein
Beef Pulao,182,23.9,41.9,5.0,True,False,high_protein
Mutton Pulao,595,22.7,60.6,14.4,True,False,high_protein
Chicken Pulao,578,15.5,27.8,6.0,True,False,high_protein
Plain Rice,272,11.8,58.2,13.2,False,True,balanced
Chapati (Roti),334,32.5,29.3,3.1,True,True,high_protein
Paratha,625,23.8,62.2,19.0,True,True,high_protein
Aloo Paratha,516,3.2,56.1,19.3,True,True,low_protein
Chicken Paratha,291,34.1,54.1,32.6,True,False,high_protein
Lachha Paratha,327,29.0,34.7,30.5,True,True,high_protein
Naan,289,3.9,37.7,34.3,False,True,low_protein
Garlic Naan,648,6.1,8.2,14.9,False,True,low_protein
Kalwanji Naan,514,31.8,61.8,14.7,False,True,high_protein
Tandoori Roti,517,27.6,31.8,18.1,True,True,high_protein
Poori,313,12.6,55.9,27.9,False,True,balanced
Haleem,185,6.2,20.1,32.3,True,True,low_protein
Chicken Haleem,438,32.1,27.8,29.6,True,False,high_protein
Beef Haleem,281,11.7,50.7,30.1,True,False,balanced
Mutton Haleem,553,12.5,61.2,29.0,True,False,balanced
Khichdi,419,24.9,37.9,24.1,False,True,high_protein
Nihari,191,21.1,20.8,18.7,True,True,high_protein
Beef Nihari,590,12.2,39.5,17.0,True,False,balanced
Mutton Nihari,258,22.4,36.7,33.7,True,False,high_protein
Chicken Nihari,394,21.2,65.5,15.2,True,False,high_protein
Paya,628,21.8,45.7,18.3,False,True,high_protein
Chicken Karahi,256,31.2,35.4,9.1,True,False,high_protein
Mutton Karahi,367,34.6,69.9,15.0,True,False,high_protein
Beef Karahi,324,20.7,40.3,20.2,True,False,high_protein
